Student_ID,Machine_learning,Data_mining,Cyber_security,Software_engineering,Research_methodology,Blockchain,Total_Score,Percentage,Class
RP13652,63,68,67,65,62,61,386,64.33333333333333,Second Class
RP00439,24,1,37,27,36,22,147,24.5,Fail
RP16534,70,70,82,89,73,82,466,77.66666666666666,First Class
RP03270,8,2,1,17,13,30,71,11.833333333333334,Fail
RP03753,30,9,34,14,0,19,106,17.666666666666668,Fail
RP09114,58,50,53,57,53,57,328,54.666666666666664,Lower Class
RP09441,54,56,50,52,57,50,319,53.166666666666664,Lower Class
RP01740,24,1,13,11,2,4,55,9.166666666666666,Fail
RP00607,21,19,3,24,28,37,132,22.0,Fail
RP17086,91,77,90,97,90,100,545,90.83333333333333,First Class
RP12999,64,67,67,66,61,68,393,65.5,Second Class
RP16973,71,77,78,99,75,94,494,82.33333333333334,First Class
RP18367,86,73,94,73,93,100,519,86.5,First Class
RP15684,69,63,62,60,69,60,383,63.83333333333333,Second Class
RP11038,51,58,51,56,53,54,323,53.833333333333336,Lower Class
RP05747,45,43,40,40,42,42,252,42.0,Pass Class
RP11585,54,51,51,53,55,59,323,53.833333333333336,Lower Class
RP06271,44,47,46,47,42,49,275,45.83333333333333,Pass Class
RP08852,55,54,57,51,52,55,324,54.0,Lower Class
RP18409,72,86,78,83,83,70,472,78.66666666666666,First Class
RP06601,42,45,44,46,42,46,265,44.166666666666664,Pass Class
RP11379,58,55,55,55,51,57,331,55.166666666666664,Lower Class
RP17190,92,76,93,82,92,97,532,88.66666666666667,First Class
RP11606,53,51,58,52,52,56,322,53.666666666666664,Lower Class
RP06910,47,43,45,49,41,44,269,44.83333333333333,Pass Class
RP00739,30,36,36,3,35,4,144,24.0,Fail
RP01995,10,33,24,13,24,26,130,21.666666666666668,Fail
RP00120,36,31,20,19,9,23,138,23.0,Fail
RP14927,63,63,64,64,63,65,382,63.66666666666667,Second Class
RP17610,78,97,95,74,92,78,514,85.66666666666667,First Class
RP17437,72,95,75,83,88,70,483,80.5,First Class
RP18554,97,94,82,83,81,81,518,86.33333333333333,First Class
RP07294,45,47,43,47,49,43,274,45.666666666666664,Pass Class
RP03406,11,22,1,27,20,0,81,13.5,Fail
RP10538,50,57,50,53,59,54,323,53.833333333333336,Lower Class
RP18467,70,71,81,89,89,91,491,81.83333333333334,First Class
RP08627,56,56,53,57,58,57,337,56.166666666666664,Lower Class
RP03482,12,24,37,21,27,1,122,20.333333333333332,Fail
RP17819,90,93,77,75,81,96,512,85.33333333333334,First Class
RP00128,37,37,14,31,24,19,162,27.0,Fail
RP13427,61,64,63,66,66,60,380,63.33333333333333,Second Class
RP10611,53,56,55,59,57,55,335,55.833333333333336,Lower Class
RP15274,67,69,65,67,61,69,398,66.33333333333333,Second Class
RP19581,100,78,87,90,95,88,538,89.66666666666666,First Class
RP19286,91,85,99,98,99,89,561,93.5,First Class
RP12823,61,60,66,68,67,67,389,64.83333333333333,Second Class
RP03074,28,6,5,39,35,13,126,21.0,Fail
RP02381,24,16,13,28,9,30,120,20.0,Fail
RP02484,13,19,21,9,25,12,99,16.5,Fail
RP03462,36,32,16,30,2,12,128,21.333333333333336,Fail
RP15232,69,60,66,61,64,68,388,64.66666666666666,Second Class
RP07459,48,42,49,46,41,44,270,45.0,Pass Class
RP15885,60,67,68,65,61,61,382,63.66666666666667,Second Class
RP06886,41,44,49,47,43,43,267,44.5,Pass Class
RP15098,68,64,61,67,63,61,384,64.0,Second Class
RP18685,73,77,92,76,77,90,485,80.83333333333333,First Class
RP14971,60,61,66,60,61,68,376,62.66666666666667,Second Class
RP00804,21,37,21,27,36,38,180,30.0,Fail
RP00475,18,18,34,15,11,14,110,18.333333333333332,Fail
RP08609,53,52,56,51,55,50,317,52.83333333333333,Lower Class
RP06483,49,42,40,42,42,49,264,44.0,Pass Class
RP18288,77,71,89,81,82,84,484,80.66666666666666,First Class
RP05558,40,49,47,41,42,43,262,43.666666666666664,Pass Class
RP13949,67,61,63,69,68,66,394,65.66666666666666,Second Class
RP08892,58,56,50,57,57,53,331,55.166666666666664,Lower Class
RP12522,60,69,68,64,60,66,387,64.5,Second Class
RP04449,47,41,49,48,46,48,279,46.5,Pass Class
RP00485,26,34,24,37,5,13,139,23.166666666666664,Fail
RP10423,58,53,55,59,53,52,330,55.00000000000001,Lower Class
RP19412,97,93,70,78,100,70,508,84.66666666666667,First Class
RP14901,62,64,61,62,62,60,371,61.83333333333333,Second Class
RP11227,57,58,54,55,54,58,336,56.00000000000001,Lower Class
RP19133,75,75,98,72,99,93,512,85.33333333333334,First Class
RP07921,44,45,47,43,48,45,272,45.33333333333333,Pass Class
RP07912,40,44,49,44,48,46,271,45.166666666666664,Pass Class
RP02767,37,0,4,13,39,28,121,20.166666666666664,Fail
RP14866,67,64,69,68,60,61,389,64.83333333333333,Second Class
RP16507,93,84,97,100,70,74,518,86.33333333333333,First Class
RP11689,52,57,52,56,56,57,330,55.00000000000001,Lower Class
RP04038,41,44,46,47,42,41,261,43.5,Pass Class
RP00857,18,26,3,39,15,0,101,16.833333333333332,Fail
RP16137,77,95,93,93,76,79,513,85.5,First Class
RP08831,57,50,54,54,55,51,321,53.5,Lower Class
RP08804,52,56,59,53,53,52,325,54.166666666666664,Lower Class
RP11839,57,58,54,54,55,52,330,55.00000000000001,Lower Class
RP03827,27,31,30,33,22,24,167,27.833333333333332,Fail
RP18128,72,82,72,80,95,80,481,80.16666666666666,First Class
RP05996,47,43,43,40,48,42,263,43.833333333333336,Pass Class
RP00504,23,29,13,5,15,7,92,15.333333333333332,Fail
RP02960,1,27,24,6,13,19,90,15.0,Fail
RP07989,45,45,47,46,44,44,271,45.166666666666664,Pass Class
RP09641,52,50,59,53,58,54,326,54.333333333333336,Lower Class
RP08110,50,58,55,54,54,55,326,54.333333333333336,Lower Class
RP05383,49,40,40,41,46,42,258,43.0,Pass Class
RP13952,62,68,64,66,62,64,386,64.33333333333333,Second Class
RP13139,64,68,61,60,68,68,389,64.83333333333333,Second Class
RP17988,82,95,76,99,73,99,524,87.33333333333333,First Class
RP13436,64,60,66,67,64,61,382,63.66666666666667,Second Class
RP07726,41,49,41,40,43,43,257,42.833333333333336,Pass Class
RP12034,64,68,63,66,68,63,392,65.33333333333333,Second Class
RP08130,58,56,53,50,53,51,321,53.5,Lower Class
RP12788,60,64,65,67,60,66,382,63.66666666666667,Second Class
RP08293,57,50,52,54,53,59,325,54.166666666666664,Lower Class
RP18322,89,87,91,83,90,93,533,88.83333333333333,First Class
RP13061,60,62,63,67,67,67,386,64.33333333333333,Second Class
RP03296,23,34,9,29,22,30,147,24.5,Fail
RP08958,58,55,55,55,50,55,328,54.666666666666664,Lower Class
RP00116,39,31,37,37,3,10,157,26.166666666666664,Fail
RP05648,40,45,45,42,43,49,264,44.0,Pass Class
RP12625,62,66,60,63,63,69,383,63.83333333333333,Second Class
RP14748,69,67,63,68,65,65,397,66.16666666666666,Second Class
RP07182,47,40,40,41,48,40,256,42.66666666666667,Pass Class
RP01711,7,11,37,7,26,8,96,16.0,Fail
RP15958,62,64,64,66,67,69,392,65.33333333333333,Second Class
RP05818,41,40,47,49,46,40,263,43.833333333333336,Pass Class
RP15279,65,63,68,69,69,64,398,66.33333333333333,Second Class
RP02481,15,35,29,32,34,28,173,28.833333333333332,Fail
RP10251,54,52,53,54,56,54,323,53.833333333333336,Lower Class
RP04033,46,43,46,41,41,48,265,44.166666666666664,Pass Class
RP13348,64,63,68,64,66,60,385,64.16666666666667,Second Class
RP16531,77,96,94,80,98,85,530,88.33333333333333,First Class
RP09515,57,59,50,59,59,55,339,56.49999999999999,Lower Class
RP04611,49,42,49,40,49,44,273,45.5,Pass Class
RP05118,47,45,49,48,41,47,277,46.166666666666664,Pass Class
